Modelo,Feature Selection,Número de Features,RMSE (CV),RMSE (TEST),R2 (TEST),MAE (TEST)
Lasso,seleccion_anticol_y_catfeats,85,7.537,7.584,0.646,5.764
Lasso,seleccion_modelo,56,7.525,7.585,0.646,5.746
Lasso,seleccion_rfe_65,65,7.525,7.585,0.646,5.746
Lasso,seleccion_rfe_50,50,7.525,7.585,0.646,5.746
Lasso,seleccion_rfe_20,20,7.694,7.81,0.625,5.911
Lasso,seleccion_rfe_35,35,7.694,7.81,0.625,5.911
LinearRegression,seleccion_sfs_9,9,7.822,7.896,0.616,5.857
Ridge,seleccion_sfs_9,9,7.822,7.897,0.616,5.858
Lasso,seleccion_rfecv,12,7.798,7.912,0.615,5.987
DecisionTree,seleccion_modelo,56,8.671,8.137,0.593,5.862
DecisionTree,seleccion_rfe_80,80,8.559,8.163,0.59,5.884
DecisionTree,seleccion_rfe_50,50,8.74,8.218,0.585,5.882
DecisionTree,seleccion_anticolinealidad,14,9.477,8.23,0.583,6.044
DecisionTree,seleccion_rfecv,12,8.831,8.234,0.583,5.735
DecisionTree,seleccion_rfe_65,65,8.666,8.296,0.577,5.916
Lasso,seleccion_sfs_15,15,8.153,8.38,0.568,6.401
DecisionTree,seleccion_anticol_y_catfeats,85,8.812,8.419,0.564,6.283
Lasso,seleccion_sfs_12,12,8.23,8.452,0.561,6.482
LinearRegression,seleccion_anticolinealidad,14,8.092,8.454,0.56,6.441
Ridge,seleccion_anticolinealidad,14,8.091,8.454,0.56,6.441
DecisionTree,all_feats,111,8.709,8.473,0.558,5.901
DecisionTree,seleccion_rfe_35,35,8.673,8.488,0.557,6.027
DecisionTree,seleccion_rfe_20,20,8.427,8.559,0.549,6.033
Lasso,seleccion_sfs_9,9,8.446,8.665,0.538,6.643
DecisionTree,num_feats,40,9.145,8.711,0.533,6.307
DecisionTree,seleccion_sfs_12,12,8.101,8.793,0.524,6.141
DecisionTree,seleccion_sfs_15,15,8.148,8.807,0.523,6.122
Lasso,num_feats,40,8.847,9.471,0.448,7.014
Lasso,seleccion_anticolinealidad,14,8.872,9.492,0.446,7.044
DecisionTree,seleccion_sfs_9,9,8.881,9.564,0.437,6.691
LinearRegression,seleccion_anticol_y_catfeats,85,639410953546.104,85915263626.366,-4.5406648452864745e+19,3614482311.039
LinearRegression,all_feats,111,76031472389.329,147463338038.669,-1.337663614307828e+20,6203829261.421
