COD_INE;ID_REL;codigo_ine;PROVINCIA;ubicacion;SUPERFICIE;PERIMETRO;LONGITUD_ETRS89;LATITUD_ETRS89;ALTITUD
2002000000;1020024;2020;Albacete;Alatoz;6385,36;37234;-1,36097604;39,09494843;858
2003000000;1020030;2001;Albacete;Albacete;112698,96;250011;-1,85574745;38,99588053;681
2004000000;1020045;2030;Albacete;Albatana;3052,82;22662;-1,52275248;38,5708754;582
2005000000;1020058;2040;Albacete;Alborea;7186,76;36330;-1,39670449;39,27835442;706
2006000000;1020061;2050;Albacete;Alcadozo;9958,7;53730;-1,9802275;38,6489758;925
2007000000;1020077;2060;Albacete;Alcalá del Júcar;14682,4446;51494;-1,42932697;39,1932018;547
2008000000;1020083;2070;Albacete;Alcaraz;37033,96;289951;-2,49034957;38,66425104;953
2009000000;1020096;2080;Albacete;Almansa;53240,79;93195;-1,09414681;38,86968811;687
2010000000;1020100;2090;Albacete;Alpera;17837,79;56572;-1,23080245;38,95969094;852
2011000000;1020117;2100;Albacete;Ayna;14658,96;65701;-2,07053831;38,55217746;696
2012000000;1020122;2110;Albacete;Balazote;6515,3733;31749;-2,15096732;38,88396156;771
2013000000;1020138;2120;Albacete;Balsa de Ves;7589,23;40451;-1,19650012;39,26461253;751
2014000000;1020143;2130;Albacete;El Ballestero;13869,3693;49399;-2,45508633;38,84252196;1027
2015000000;1020156;2140;Albacete;Barrax;18977,03;52778;-2,20045637;39,0456106;733
2016000000;1020169;2150;Albacete;Bienservida;9143,82;58484;-2,61184243;38,51602097;898
2017000000;1020175;2160;Albacete;Bogarra;16601,4619;77106;-2,21253636;38,58025427;844
2018000000;1020181;2170;Albacete;Bonete;12553,48;55884;-1,34830324;38,86950589;886
2019000000;1020194;2180;Albacete;El Bonillo;50286,73;154516;-2,54023691;38,95012362;1062
2020000000;1020208;2190;Albacete;Carcelén;7536,3731;38287;-1,30876708;39,10231176;911
2021000000;1020215;2200;Albacete;Casas de Juan Núñez;8898,2779;42030;-1,55799035;39,10160749;704
2022000000;1020220;2210;Albacete;Casas de Lázaro;11231,6773;70760;-2,23922378;38,7705758;942
2023000000;1020236;2220;Albacete;Casas de Ves;12540,85;69475;-1,33454992;39,25946122;707
2024000000;1020241;2230;Albacete;Casas-Ibáñez;10325,14;56102;-1,47129143;39,28701686;708
2025000000;1020254;2240;Albacete;Caudete;14123,86;49596;-0,9886912;38,70573009;554
2026000000;1020267;2250;Albacete;Cenizate;6326,0153;35204;-1,66113349;39,30332101;706
2027000000;1020273;2260;Albacete;Corral-Rubio;9475,5686;42347;-1,4608525;38,83500072;870
2028000000;1020289;2270;Albacete;Cotillas;1446,9288;15802;-2,50574545;38,43135915;947
2029000000;1020292;2280;Albacete;Chinchilla de Monte-Aragón;67927,33;163946;-1,72602643;38,9210968;907
2030000000;1020306;2290;Albacete;Elche de la Sierra;23949,4125;84011;-2,04781376;38,44790893;630
2031000000;1020313;2300;Albacete;Férez;12615,86;56954;-2,00953934;38,35567013;682
2032000000;1020328;2310;Albacete;Fuensanta;2411,25;26689;-2,06725219;39,24466001;693
2033000000;1020334;2320;Albacete;Fuente-Álamo;13337,12;45590;-1,43170411;38,69314229;820
2034000000;1020349;2330;Albacete;Fuentealbilla;10829,379;64740;-1,54879364;39,26773579;670
2035000000;1020352;2340;Albacete;La Gineta;13713,52;49977;-1,99784496;39,11387916;691
2036000000;1020365;2350;Albacete;Golosalvo;2817,6676;24505;-1,63626863;39,23996013;740
2037000000;1020371;2360;Albacete;Hellín;77929,12;152972;-1,70344921;38,51218953;570
2038000000;1020387;2370;Albacete;La Herrera;6342,58;42320;-2,12637236;38,9621774;714
2039000000;1020390;2380;Albacete;Higueruela;20545,4904;86388;-1,44535609;38,96455026;1041
2040000000;1020404;2390;Albacete;Hoya-Gonzalo;11457,4972;48066;-1,55687053;38,95787352;929
2041000000;1020411;2400;Albacete;Jorquera;6794,01;57197;-1,52061391;39,17457441;624
2042000000;1020426;2410;Albacete;Letur;26440,16;81881;-2,10096881;38,36632081;735
2043000000;1020432;2420;Albacete;Lezuza;36061,17;86173;-2,35387427;38,94878996;913
2044000000;1020447;2430;Albacete;Liétor;31318,96;78992;-1,95479319;38,54083745;641
2045000000;1020450;2440;Albacete;Madrigueras;7334,55;35851;-1,7997012;39,23680339;688
2046000000;1020463;2450;Albacete;Mahora;10814,91;48081;-1,72481837;39,21303088;663
2047000000;1020479;2460;Albacete;Masegoso;10387,0257;42914;-2,31511768;38,71877813;1108
2048000000;1020485;2470;Albacete;Minaya;6998,11;47971;-2,31961973;39,27118701;723
2049000000;1020498;2480;Albacete;Molinicos;14358,8298;71840;-2,23898151;38,46778179;851
2050000000;1020501;2490;Albacete;Montalvos;2466,13;23443;-2,02769341;39,16721439;709
2051000000;1020518;2500;Albacete;Montealegre del Castillo;17741,17;54756;-1,32487672;38,78717469;810
2052000000;1020523;2510;Albacete;Motilleja;2382,44;24700;-1,79025762;39,17948885;676
2053000000;1020539;2520;Albacete;Munera;23053,83;58734;-2,4830388;39,03954575;929
2054000000;1020544;2530;Albacete;Navas de Jorquera;4225,9722;26041;-1,7189485;39,28099513;708
2055000000;1020557;2540;Albacete;Nerpio;43674,2;100376;-2,30224029;38,14824043;1085
2056000000;1020560;2550;Albacete;Ontur;5440,9;30491;-1,49888166;38,61472661;653
2057000000;1020576;2560;Albacete;Ossa de Montiel;24370,76;69230;-2,74272664;38,96201035;898
2058000000;1020582;2570;Albacete;Paterna del Madera;11233,8382;53946;-2,34555766;38,59729435;1126
2059000000;1020595;2590;Albacete;Peñascosa;18925,8047;106221;-2,41040499;38,67153536;1169
2060000000;1020609;2580;Albacete;Peñas de San Pedro;15876,06;73331;-2,00212787;38,72688881;1010
2061000000;1020616;2600;Albacete;Pétrola;7460,7346;40804;-1,55549981;38,82629814;870
2062000000;1020621;2610;Albacete;Povedilla;4942,7325;35557;-2,60393627;38,70163971;872
2063000000;1020637;2630;Albacete;Pozohondo;13642,45;49375;-1,91133356;38,721122;871
2064000000;1020642;2620;Albacete;Pozo-Lorente;8098,71;36438;-1,50647855;39,07663024;769
2065000000;1020655;2640;Albacete;Pozuelo;13397,79;48394;-2,10117384;38,80969625;845
2066000000;1020668;2650;Albacete;La Recueja;2973,9107;39019;-1,48988779;39,17688319;542
2067000000;1020674;2660;Albacete;Riópar;8100,28;56049;-2,41839311;38,4998099;1126
2068000000;1020680;2670;Albacete;Robledo;12008,4392;51626;-2,44882682;38,75778452;1041
2069000000;1020693;2680;Albacete;La Roda;39788,07;132120;-2,15924796;39,20706504;708
2070000000;1020707;2690;Albacete;Salobre;4952,8648;39261;-2,55057256;38,59195258;920
2071000000;1020714;2700;Albacete;San Pedro;8311,597;37014;-2,186211;38,82654004;844
2072000000;1020729;2710;Albacete;Socovos;13912,13;65485;-1,98469065;38,33202632;734
2073000000;1020735;2720;Albacete;Tarazona de la Mancha;21267,16;67795;-1,91280979;39,26539647;713
2074000000;1020740;2730;Albacete;Tobarra;32521,78;79966;-1,69282296;38,5922733;652
2075000000;1020753;2740;Albacete;Valdeganga;7065,62;42767;-1,67646922;39,13545152;667
2076000000;1020766;2750;Albacete;Vianos;12805,18;91539;-2,50149079;38,632307;1118
2077000000;1020772;2760;Albacete;Villa de Ves;5775,64;37832;-1,25897631;39,22231541;744
2078000000;1020788;2770;Albacete;Villalgordo del Júcar;4668,4938;32688;-2,06309183;39,29598679;683
2079000000;1020791;2780;Albacete;Villamalea;12832,89;63758;-1,59908353;39,36160785;739
2080000000;1020805;2790;Albacete;Villapalacios;8747,7445;41446;-2,63505947;38,57467359;837
2081000000;1020812;2800;Albacete;Villarrobledo;86239,48;141054;-2,60714311;39,26755792;728
2082000000;1020827;2810;Albacete;Villatoya;1867,36;21565;-1,33858599;39,33385264;409
2083000000;1020833;2820;Albacete;Villavaliente;3484,1712;30502;-1,45799642;39,12645758;726
2084000000;1020848;2830;Albacete;Villaverde de Guadalimar;6928,96;39791;-2,518480636;38,456169;799
2085000000;1020851;2840;Albacete;Viveros;6536,6666;45479;-2,57590915;38,77363475;1012
2086000000;1020864;2850;Albacete;Yeste;51221,68;121379;-2,31896;38,3668;878
2901000000;1029010;2615;Albacete;Pozo Cañada;11683,38;69208;-1,73622317;38,801361;830
3001000000;1030015;3005;Alacant/Alicante;l'Atzúbia;1466,9574;18376;-0,15173035;38,84743029;99
3002000000;1030020;3010;Alacant/Alicante;Agost;6663,5352;40007;-0,63891979;38,43949316;331
3003000000;1030036;3015;Alacant/Alicante;Agres;2583,659;20529;-0,51595543;38,78000404;719
3004000000;1030041;3020;Alacant/Alicante;Aigües;1847,2816;20622;-0,36258669;38,49887092;332
3005000000;1030054;3025;Alacant/Alicante;Albatera;6154,27;34605;-0,86792141;38,17894636;15
3006000000;1030067;3030;Alacant/Alicante;Alcalalí;1439,7787;21582;-0,04160798;38,74965349;226
3007000000;1030073;3035;Alacant/Alicante;Alcosser;438,7155;9164;-0,40197036;38,79447224;345
3008000000;1030089;3040;Alacant/Alicante;Alcoleja;1455,8836;19193;-0,33100925;38,67548564;735
3009000000;1030092;3045;Alacant/Alicante;Alcoi/Alcoy;12986,0503;58858;-0,473163128;38,69764173;564
3010000000;1030106;3050;Alacant/Alicante;Alfafara;1977,7677;18603;-0,55552339;38,77274828;580
3011000000;1030113;3055;Alacant/Alicante;l'Alfàs del Pi;1925,9507;20927;-0,1026002;38,58009496;89
3012000000;1030128;3060;Alacant/Alicante;Algorfa;1847,09;29362;-0,79568423;38,08681637;23
3013000000;1030134;3065;Alacant/Alicante;Algueña;1857,58;29533;-1,00303745;38,33800138;530
3014000000;1030149;3001;Alacant/Alicante;Alacant/Alicante;20255,49;151897;-0,4831832;38,34548705;5
3015000000;1030152;3070;Alacant/Alicante;Almoradí;4269,4;53678;-0,79201713;38,10977991;10
3016000000;1030165;3075;Alacant/Alicante;Almudaina;882,0194;12317;-0,35370678;38,76155764;570
3017000000;1030171;3080;Alacant/Alicante;l'Alqueria d'Asnar;108,3702;9555;-0,42552267;38,77311802;363
3018000000;1030187;3085;Alacant/Alicante;Altea;3465,36;35786;-0,05144236;38,59892497;60
3019000000;1030190;3090;Alacant/Alicante;Aspe;7057,09;38464;-0,76849107;38,34577266;234
3020000000;1030204;3095;Alacant/Alicante;Balones;1125;17176;-0,34237388;38,73701039;670
3021000000;1030211;3100;Alacant/Alicante;Banyeres de Mariola;5027,5886;39273;-0,65685684;38,71635902;812
3022000000;1030226;3105;Alacant/Alicante;Benasau;904,039;16402;-0,34261264;38,68991329;705
3023000000;1030232;3110;Alacant/Alicante;Beneixama;3488,8204;26678;-0,76676743;38,70018533;592
3024000000;1030247;3115;Alacant/Alicante;Benejúzar;932,7958;15599;-0,83819517;38,07806375;23
3025000000;1030250;3120;Alacant/Alicante;Benferri;1237,15;16682;-0,9622579;38,14179352;56
3026000000;1030263;3125;Alacant/Alicante;Beniarbeig;740,3238;17593;-0,00130364;38,82193219;42
3027000000;1030279;3130;Alacant/Alicante;Beniardà;1573,9453;21110;-0,21600764;38,68343356;464
3028000000;1030285;3135;Alacant/Alicante;Beniarrés;2021,3756;20473;-0,37904234;38,82007885;385
3029000000;1030298;3140;Alacant/Alicante;Benigembla;1845,4265;17576;-0,10982699;38,75633514;311
3030000000;1030302;3145;Alacant/Alicante;Benidoleig;748,4278;13133;-0,03173239;38,791917;124
3031000000;1030319;3150;Alacant/Alicante;Benidorm;3850,9874;39091;-0,1306853;38,53427136;11
3032000000;1030324;3155;Alacant/Alicante;Benifallim;1368,8379;18200;-0,39922559;38,66273419;738
3033000000;1030330;3160;Alacant/Alicante;Benifato;1188,0505;15536;-0,22888967;38,67369418;663
3034000000;1030345;3165;Alacant/Alicante;Benijófar;435,9954;8848;-0,73828051;38,0808408;22
3035000000;1030358;3170;Alacant/Alicante;Benilloba;953,8103;16495;-0,3908201;38,69955909;521
3036000000;1030361;3175;Alacant/Alicante;Benillup;337,8822;10655;-0,3789958;38,75380301;564
3037000000;1030377;3180;Alacant/Alicante;Benimantell;3792,79;42148;-0,20984798;38,67659254;546
3038000000;1030383;3185;Alacant/Alicante;Benimarfull;556,3613;10384;-0,39099875;38,77584801;414
3039000000;1030396;3190;Alacant/Alicante;Benimassot;951,2727;14024;-0,291855;38,74905825;725
3040000000;1030400;3195;Alacant/Alicante;Benimeli;345,55;11985;-0,04146491;38,82296616;93
3041000000;1030417;3200;Alacant/Alicante;Benissa;6972,79;54367;0,05043358;38,7151969;254
3042000000;1030422;3205;Alacant/Alicante;el Poble Nou de Benitatxell/Benitachell;1268,88;17457;0,144742727;38,73241632;159
3043000000;1030438;3210;Alacant/Alicante;Biar;9816,5159;40760;-0,76597374;38,62996229;697
3044000000;1030443;3215;Alacant/Alicante;Bigastro;409,8141;13443;-0,89528476;38,06301558;23
