Comunidad Autónoma;Provincia;codigo_ine;ubicacion;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
Andalucía;Almería;4070;Oria;88;13;11;18;<5;18;27;<5;7;7;58;12
Andalucía;Almería;4071;Padules;23;<5;<5;11;<5;<5;5;<5;<5;5;15;<5
Andalucía;Almería;4072;Partaloa;19;<5;5;5;0;<5;<5;0;<5;<5;8;7
Andalucía;Almería;4073;Paterna del Río;30;0;<5;10;0;5;11;<5;0;0;27;<5
Andalucía;Almería;4074;Pechina;418;21;66;96;22;92;121;38;11;43;269;57
Andalucía;Almería;4075;Pulpí;301;16;38;67;13;80;87;64;17;26;166;28
Andalucía;Almería;4076;Purchena;88;5;16;20;7;19;21;7;18;5;50;8
Andalucía;Almería;4077;Rágol;9;0;<5;<5;0;0;<5;<5;0;<5;6;0
Andalucía;Almería;4078;Rioja;189;10;25;42;10;40;62;20;<5;16;133;18
Andalucía;Almería;4079;Roquetas de Mar;6813;254;987;1380;247;1695;2250;719;190;668;4524;712
Andalucía;Almería;4080;Santa Cruz de Marchena;20;0;<5;8;0;<5;8;<5;<5;<5;13;0
Andalucía;Almería;4081;Santa Fe de Mondújar;40;7;<5;12;<5;7;8;<5;<5;5;21;7
Andalucía;Almería;4082;Senés;19;0;<5;9;0;<5;7;<5;0;<5;15;<5
Andalucía;Almería;4083;Serón;99;7;8;29;<5;16;35;<5;14;7;63;12
Andalucía;Almería;4084;Sierro;35;<5;13;8;0;7;6;<5;6;7;18;<5
Andalucía;Almería;4085;Somontín;19;0;5;6;0;<5;5;0;<5;<5;13;0
Andalucía;Almería;4086;Sorbas;184;7;32;48;7;40;50;24;11;19;111;19
Andalucía;Almería;4087;Suflí;17;<5;<5;6;<5;<5;7;0;<5;<5;11;0
Andalucía;Almería;4088;Tabernas;270;10;40;80;12;51;77;30;18;29;169;24
Andalucía;Almería;4089;Taberno;40;<5;8;11;<5;10;6;<5;5;<5;26;<5
Andalucía;Almería;4090;Tahal;13;0;<5;6;0;<5;<5;<5;<5;<5;8;0
Andalucía;Almería;4091;Terque;31;0;6;7;0;<5;16;<5;<5;<5;20;<5
Andalucía;Almería;4092;Tíjola;233;10;32;52;10;63;66;20;25;22;140;26
Andalucía;Almería;4093;Turre;268;14;48;62;13;56;75;11;9;39;179;30
Andalucía;Almería;4094;Turrillas;5;0;<5;<5;0;<5;<5;0;0;0;5;0
Andalucía;Almería;4095;Uleila del Campo;49;<5;6;16;<5;6;17;<5;0;6;32;7
Andalucía;Almería;4096;Urrácal;17;<5;<5;5;0;<5;7;<5;<5;<5;8;<5
Andalucía;Almería;4097;Velefique;13;<5;<5;5;0;<5;<5;<5;0;<5;8;<5
Andalucía;Almería;4098;Vélez-Blanco;75;5;13;19;0;16;22;9;5;9;45;7
Andalucía;Almería;4099;Vélez-Rubio;327;15;47;75;12;89;89;28;35;32;209;23
Andalucía;Almería;4100;Vera;1119;50;168;232;59;246;364;73;42;85;794;125
Andalucía;Almería;4101;Viator;464;19;69;92;16;130;138;18;15;38;345;48
Andalucía;Almería;4102;Vícar;1671;103;278;334;85;432;439;265;46;143;979;238
Andalucía;Almería;4103;Zurgena;145;9;17;43;9;31;36;15;<5;19;86;21
Andalucía;Almería;4901;Tres Villas, Las;27;0;6;11;<5;<5;5;<5;<5;6;13;<5
Andalucía;Almería;4902;Ejido, El;4549;245;677;880;197;1185;1365;919;142;281;2648;559
Andalucía;Almería;4903;Mojonera, La;368;20;71;79;23;84;91;94;9;40;170;55
Andalucía;Almería;4904;Balanegra;133;9;21;27;6;35;35;25;<5;5;76;23
Andalucía;Cádiz;11001;Alcalá de los Gazules;559;16;64;91;31;143;214;37;24;43;405;50
Andalucía;Cádiz;11002;Alcalá del Valle;279;15;43;93;13;54;61;50;<5;25;176;24
Andalucía;Cádiz;11003;Algar;135;<5;13;28;5;28;59;9;8;16;89;13
Andalucía;Cádiz;11004;Algeciras;13578;626;1893;2560;621;3378;4500;219;543;1067;9272;2477
Andalucía;Cádiz;11005;Algodonales;450;29;54;108;26;100;133;51;11;33;322;33
Andalucía;Cádiz;11006;Arcos de la Frontera;3573;144;322;642;150;887;1428;248;124;399;2497;305
Andalucía;Cádiz;11007;Barbate;2389;91;314;509;119;471;885;102;166;171;1676;274
Andalucía;Cádiz;11008;Barrios, Los;2120;89;258;327;106;549;791;33;120;157;1563;247
Andalucía;Cádiz;11009;Benaocaz;65;<5;7;15;0;18;24;<5;9;<5;47;<5
Andalucía;Cádiz;11010;Bornos;614;24;97;142;46;156;149;80;17;61;400;56
Andalucía;Cádiz;11011;Bosque, El;181;11;21;51;6;29;63;<5;34;9;124;10
Andalucía;Cádiz;11012;Cádiz;9663;330;1336;2288;313;1906;3490;67;518;600;7336;1142
Andalucía;Cádiz;11013;Castellar de la Frontera;249;13;26;42;9;52;107;6;16;6;198;23
Andalucía;Cádiz;11014;Conil de la Frontera;1599;60;199;367;57;353;563;55;55;140;1187;162
Andalucía;Cádiz;11015;Chiclana de la Frontera;8608;365;1139;1800;313;1888;3103;93;382;1255;5587;1291
Andalucía;Cádiz;11016;Chipiona;1734;81;262;377;64;406;544;132;46;140;1261;155
Andalucía;Cádiz;11017;Espera;249;16;42;61;21;59;50;23;14;30;152;30
Andalucía;Cádiz;11018;Gastor, El;131;<5;15;45;5;27;36;7;<5;20;97;<5
Andalucía;Cádiz;11019;Grazalema;168;<5;19;38;9;34;65;<5;10;9;141;6
Andalucía;Cádiz;11020;Jerez de la Frontera;23058;913;2655;4449;886;4991;9164;756;1087;1876;16144;3195
Andalucía;Cádiz;11021;Jimena de la Frontera;601;24;55;104;26;153;239;46;14;67;410;64
Andalucía;Cádiz;11022;Línea de la Concepción, La;8938;324;1426;1824;404;2278;2682;106;535;924;5591;1782
Andalucía;Cádiz;11023;Medina-Sidonia;1250;41;119;253;50;312;475;64;49;114;928;95
Andalucía;Cádiz;11024;Olvera;506;24;69;140;23;122;128;57;27;46;341;35
Andalucía;Cádiz;11025;Paterna de Rivera;577;22;61;111;25;149;209;37;23;238;243;36
Andalucía;Cádiz;11026;Prado del Rey;630;21;71;170;27;121;220;34;131;36;400;29
Andalucía;Cádiz;11027;Puerto de Santa María, El;8271;292;998;1647;293;1860;3181;103;343;642;6112;1071
Andalucía;Cádiz;11028;Puerto Real;3797;166;462;715;131;820;1503;49;294;280;2628;546
Andalucía;Cádiz;11029;Puerto Serrano;342;32;51;97;30;75;57;40;11;42;221;28
Andalucía;Cádiz;11030;Rota;2278;73;314;439;107;493;852;27;345;154;1522;230
Andalucía;Cádiz;11031;San Fernando;9194;357;1121;1756;324;1999;3637;73;379;669;6652;1421
Andalucía;Cádiz;11032;Sanlúcar de Barrameda;7020;265;966;1378;268;1704;2439;715;292;620;4563;830
Andalucía;Cádiz;11033;San Roque;3088;146;435;560;123;772;1052;33;158;476;2020;401
Andalucía;Cádiz;11034;Setenil de las Bodegas;174;6;31;56;9;37;35;21;<5;31;106;12
Andalucía;Cádiz;11035;Tarifa;1187;46;164;266;39;229;443;22;39;82;957;87
Andalucía;Cádiz;11036;Torre Alháquime;70;6;16;21;6;14;7;11;5;7;44;<5
Andalucía;Cádiz;11037;Trebujena;512;30;97;115;25;128;117;68;13;17;365;49
Andalucía;Cádiz;11038;Ubrique;1462;55;161;348;42;277;579;18;670;57;632;85
Andalucía;Cádiz;11039;Vejer de la Frontera;1278;46;140;320;45;223;504;48;27;135;945;123
Andalucía;Cádiz;11040;Villaluenga del Rosario;32;<5;<5;5;<5;6;15;<5;<5;<5;25;<5
Andalucía;Cádiz;11041;Villamartín;1243;47;183;277;90;299;347;109;66;137;831;100
Andalucía;Cádiz;11042;Zahara;86;7;19;24;8;10;18;8;7;20;47;<5
Andalucía;Cádiz;11901;Benalup-Casas Viejas;678;33;81;123;22;141;278;76;16;88;452;46
Andalucía;Cádiz;11902;San José del Valle;404;20;38;88;15;111;132;50;14;56;257;27
Andalucía;Cádiz;11903;San Martín del Tesorillo;199;7;30;49;5;53;55;8;<5;21;148;19
Andalucía;Córdoba;14001;Adamuz;130;6;18;25;5;44;32;30;9;7;77;7
Andalucía;Córdoba;14002;Aguilar de la Frontera;530;35;78;118;53;129;117;49;32;48;340;61
Andalucía;Córdoba;14003;Alcaracejos;99;7;12;25;<5;26;25;7;<5;18;72;<5
