ubicacion,codigo_ine,Comunidad Autónoma,Provincia,%_casas_vacias,Viviendas totales,Mediana consumo anual,Viviendas con bajo consumo,Viviendas de uso esporádico,prev_res_misma_vivienda,prev_res_mismo_municipio,prev_res_misma_provincia,prev_res_misma_comunidad,prev_res_dif_comunidad,prev_res_en_extranjero,prev_res_no_nacido,Poblacion,Poblacion_-16,Poblacion_16-64,Poblacion_+65,Hombres,Hombres_-16,Hombres_16-64,Hombres_+65,Mujeres,Mujeres_-16,Mujeres_16-64,Mujeres_+65,total Paro Registrado,Paro hombre edad < 25,Paro hombre edad 25 -45 ,Paro hombre edad >=45,Paro mujer edad < 25,Paro mujer edad 25 -45 ,Paro mujer edad >=45,Paro Agricultura,Paro Industria,Paro Construcción,Paro Servicios,Paro Sin empleo Anterior,SUPERFICIE,PERIMETRO,LONGITUD_ETRS89,LATITUD_ETRS89,ALTITUD
    08246 Santa Eugènia de Berga,8246,Cataluña,Barcelona,5.08298755186722,964,2759,14,46,552,959,334,35,41,119,216,2256,345,1470,441,1149,188,745,216,1107,157,725,225,66,1,10,16,2,13,23,4,13,3,44,1,698.47,15381,2.2834746,41.9004949,537.0
    08247 Santa Eulàlia de Riuprimer,8247,Cataluña,Barcelona,2.831858407079646,565,2662,10,57,611,239,296,34,14,37,177,1408,305,899,204,707,152,465,90,701,153,434,114,40,3,1,6,0,8,21,0,9,1,30,0,1390.03,29046,2.18914692,41.91018978,569.0
    08248 Santa Eulàlia de Ronçana,8248,Cataluña,Barcelona,6.991920447482909,3218,3243,38,150,2883,1923,1743,60,88,130,723,7550,1323,4920,1307,3782,672,2505,605,3768,651,2415,702,302,8,49,73,9,72,91,1,31,20,231,19,1405.89,19571,2.2265844,41.65270716,218.0
    08250 Santa Margarida de Montbui,8250,Cataluña,Barcelona,10.46277665995976,4473,2383,95,256,2957,3802,1612,145,172,382,1113,10183,1939,6441,1803,5144,1023,3341,780,5039,916,3100,1023,726,37,116,141,31,154,247,15,112,43,444,112,2761.55,28357,1.60867,41.57463,320.0
    08251 Santa Margarida i els Monjos,8251,Cataluña,Barcelona,7.923243577839678,3231,2521,55,161,2736,2184,1170,230,127,342,883,7672,1527,4988,1157,3911,788,2593,530,3761,739,2395,627,325,8,41,76,10,74,116,8,56,20,217,24,1743.43,21805,1.66400812,41.32186526,169.0
    08252 Barberà del Vallès,8252,Cataluña,Barcelona,7.1034282393957,13768,2401,199,543,11224,11756,4678,306,657,1102,3309,33032,5764,21446,5822,16244,2917,10759,2568,16788,2847,10687,3254,1455,87,191,312,59,254,552,6,225,92,1018,114,820.06,14676,2.12659424,41.51725339,134.0
    08258 Santa Maria d'Oló,8258,Cataluña,Barcelona,31.16883116883117,693,2700,14,31,321,457,132,21,10,32,91,1064,158,649,257,526,83,328,115,538,75,321,142,29,0,2,3,5,10,10,1,1,5,20,3,6595.16,51300,2.03438754,41.87083247,543.0
    08259 Santa Maria de Palautordera,8259,Cataluña,Barcelona,3.795066413662239,4216,2698,74,229,3255,2873,1929,207,131,345,909,9649,1583,6424,1642,4845,820,3290,735,4804,763,3134,907,466,20,54,142,2,65,181,9,90,40,306,21,1695.08,22153,2.4439721,41.69278351,208.0
    08260 Santa Perpètua de Mogoda,8260,Cataluña,Barcelona,5.236436037829766,10045,2567,126,418,9979,8397,3284,233,445,1068,2510,25917,4686,17119,4112,13045,2450,8750,1845,12872,2236,8369,2267,1147,53,163,236,33,211,451,5,174,68,824,76,1567.67,19744,2.17904833,41.53543796,73.0
    08261 Santa Susanna,8261,Cataluña,Barcelona,13.213483146067414,2225,2172,95,333,890,1107,801,91,59,269,407,3625,678,2343,604,1825,344,1191,290,1800,334,1152,314,152,8,25,35,1,21,59,5,17,13,103,18,1261.79,17606,2.70713799,41.63570977,9.0
