ubicacion,codigo_ine,Comunidad Autónoma,Provincia,%_casas_vacias,Viviendas totales,Mediana consumo anual,Viviendas con bajo consumo,Viviendas de uso esporádico,prev_res_misma_vivienda,prev_res_mismo_municipio,prev_res_misma_provincia,prev_res_misma_comunidad,prev_res_dif_comunidad,prev_res_en_extranjero,prev_res_no_nacido,Poblacion,Poblacion_-16,Poblacion_16-64,Poblacion_+65,Hombres,Hombres_-16,Hombres_16-64,Hombres_+65,Mujeres,Mujeres_-16,Mujeres_16-64,Mujeres_+65,total Paro Registrado,Paro hombre edad < 25,Paro hombre edad 25 -45 ,Paro hombre edad >=45,Paro mujer edad < 25,Paro mujer edad 25 -45 ,Paro mujer edad >=45,Paro Agricultura,Paro Industria,Paro Construcción,Paro Servicios,Paro Sin empleo Anterior,SUPERFICIE,PERIMETRO,LONGITUD_ETRS89,LATITUD_ETRS89,ALTITUD
    14044 Monturque,14044,Andalucía,Córdoba,13.717693836978132,1006,2979,19,84,691,929,104,12,17,8,185,1946,289,1298,359,967,143,669,155,979,146,629,204,111,7,14,20,9,33,28,17,9,12,63,10,3253.73,32727,-4.58088184,37.47356745,388.0
    14045 Moriles,14045,Andalucía,Córdoba,16.61807580174927,2058,2794,84,223,1346,1771,161,43,48,30,325,3724,583,2512,629,1870,293,1288,289,1854,290,1224,340,189,10,23,46,13,56,41,25,21,26,99,18,1958.69,32630,-4.60916325,37.43498961,375.0
    14046 Nueva Carteya,14046,Andalucía,Córdoba,13.987318164863858,2681,3107,79,227,2033,2577,130,37,67,38,468,5350,777,3576,997,2724,415,1865,444,2626,362,1711,553,137,11,31,21,6,37,31,26,10,8,72,21,6933.09,48302,-4.46660548,37.58553839,450.0
    14047 Obejo,14047,Andalucía,Córdoba,28.404952658412235,1373,3091,33,105,683,685,297,85,83,24,172,2029,302,1406,321,1055,155,751,149,974,147,655,172,157,5,12,35,11,34,60,4,6,26,111,12,21465.15,84874,-4.800762534,38.13386933,702.0
    14048 Palenciana,14048,Andalucía,Córdoba,20.0,835,2670,37,80,548,675,27,51,32,25,108,1466,205,951,310,746,116,493,137,720,89,458,173,69,9,5,10,7,20,18,7,4,4,42,13,1613.1814,20041,-4.58251386,37.24883679,398.0
    14049 Palma del Río,14049,Andalucía,Córdoba,13.988808952837733,10008,3199,221,609,8038,9116,416,503,382,630,1888,20973,3284,13925,3764,10438,1700,7072,1666,10535,1584,6853,2098,1225,67,164,232,74,311,377,176,52,113,763,121,20018.7,85702,-5.28521754,37.70113499,54.0
    14050 Pedro Abad,14050,Andalucía,Córdoba,12.419974391805376,1562,3212,38,137,823,1459,157,66,43,29,233,2810,404,1868,538,1409,211,969,229,1401,193,899,309,201,9,18,40,10,58,66,13,16,27,127,18,2345.8142,23821,-4.45502044,37.96637631,160.0
    14051 Pedroche,14051,Andalucía,Córdoba,16.94764862466726,1127,2061,96,146,377,845,136,13,35,8,79,1493,142,901,450,748,86,461,201,745,56,440,249,101,9,10,20,7,22,33,9,5,14,70,6,12164.889,69697,-4.76362098,38.42795152,628.0
    14052 Peñarroya-Pueblonuevo,14052,Andalucía,Córdoba,17.53508630424262,6199,2649,231,573,3027,5687,417,158,412,72,757,10530,1277,6726,2527,5106,636,3400,1070,5424,641,3326,1457,1252,56,176,251,47,317,405,53,53,130,896,120,6487.5708,51588,-5.26610998,38.29876873,538.0
    14053 Posadas,14053,Andalucía,Córdoba,14.324726911618669,4028,3245,84,285,2594,3418,328,86,148,81,657,7312,1143,4788,1381,3622,567,2455,600,3690,576,2333,781,445,15,60,89,27,97,157,51,19,53,290,32,16027.5323,59230,-5.10716405,37.80042527,87.0
    14054 Pozoblanco,14054,Andalucía,Córdoba,14.861208537929652,9979,2437,290,777,6010,8003,792,256,360,212,1536,17169,2598,11365,3206,8329,1303,5699,1327,8840,1295,5666,1879,1242,43,128,216,60,325,470,99,97,120,787,139,32991.29,150729,-4.84958064,38.37888591,649.0
    14055 Priego de Córdoba,14055,Andalucía,Córdoba,15.011872959335117,13476,2591,516,1293,7729,11036,479,507,441,312,1784,22288,3158,14469,4661,10878,1581,7283,2014,11410,1577,7186,2647,1405,56,167,238,68,348,528,115,207,87,865,131,28827.13,116135,-4.191759,37.43981618,649.0
    14056 Puente Genil,14056,Andalucía,Córdoba,10.37111334002006,14955,2985,346,1102,11144,13598,474,683,470,715,2764,29848,4895,19755,5198,14720,2467,9983,2270,15128,2428,9772,2928,2375,98,319,402,118,628,810,329,313,152,1294,287,17075.8,67239,-4.77225259,37.3883058,229.0
    14058 Rute,14058,Andalucía,Córdoba,16.11960818009967,5819,2792,224,526,3000,4942,402,251,174,221,850,9840,1453,6334,2053,4919,771,3283,865,4921,682,3051,1188,422,20,48,107,29,92,126,48,61,48,221,44,13193.13,56083,-4.37022684,37.32526431,635.0
    14060 Santaella,14060,Andalucía,Córdoba,9.60067969413764,2354,3229,49,179,1584,2275,140,56,47,43,467,4612,757,2963,892,2323,409,1501,413,2289,348,1462,479,154,11,17,25,9,53,39,18,12,10,103,11,22613.56,76510,-4.84662658,37.56749755,241.0
    14062 Torrecampo,14062,Andalucía,Córdoba,26.53606411398041,1123,1690,111,193,277,579,51,8,60,6,38,1019,83,603,333,501,49,315,137,518,34,288,196,57,3,1,16,5,15,19,2,2,15,34,4,19660.04,83969,-4.68026045,38.47447529,573.0
    14063 Valenzuela,14063,Andalucía,Córdoba,22.149122807017545,912,2585,29,125,278,693,13,40,17,10,47,1098,100,666,332,553,52,360,141,545,48,306,191,22,3,3,7,2,1,6,2,0,5,13,2,1903.75,21249,-4.21935803,37.77497124,344.0
    14066 Villa del Río,14066,Andalucía,Córdoba,10.726643598615915,3179,3820,34,201,2666,3323,174,126,76,22,635,7022,1089,4623,1310,3486,539,2393,554,3536,550,2230,756,518,27,66,116,31,113,165,66,122,40,244,46,2206.8932,28828,-4.29093006,37.98234127,166.0
    14067 Villafranca de Córdoba,14067,Andalucía,Córdoba,10.819539765845782,2477,3320,47,203,1847,1805,505,85,89,33,540,4904,904,3235,765,2506,465,1722,319,2398,439,1513,446,346,23,27,70,16,93,117,26,29,25,242,24,5831.74,42039,-4.54554878,37.96233796,144.0
    14069 Villanueva de Córdoba,14069,Andalucía,Córdoba,21.28644939965695,5830,2269,279,587,2835,4602,280,65,179,43,662,8666,1112,5503,2051,4296,576,2891,829,4370,536,2612,1222,443,16,61,91,20,119,136,61,26,28,309,19,42952.2868,115733,-4.62846311,38.32241888,724.0
    14070 Villanueva del Duque,14070,Andalucía,Córdoba,36.27737226277373,1370,1887,87,152,397,778,96,17,67,12,86,1453,149,827,477,735,78,438,219,718,71,389,258,90,0,8,24,5,20,36,8,3,25,53,3,13754.94,87012,-4.99945439,38.39272715,582.0
    14071 Villanueva del Rey,14071,Andalucía,Córdoba,45.51282051282051,1092,1814,68,85,288,506,87,7,30,3,80,1001,129,605,267,499,59,319,121,502,70,286,146,98,3,11,15,5,29,35,7,5,10,72,5,21579.668,71824,-5.15082199,38.20045817,549.0
    14072 Villaralto,14072,Andalucía,Córdoba,28.65554465161924,1019,1802,104,137,280,610,87,10,39,5,72,1103,116,621,366,557,63,331,163,546,53,290,203,54,3,6,13,3,16,13,6,4,10,32,1,2417.94,22850,-4.98422319,38.455423,583.0
    14073 Villaviciosa de Córdoba,14073,Andalucía,Córdoba,31.569726699369305,2854,1933,153,295,980,1692,193,34,56,38,207,3200,368,1933,899,1641,179,1034,428,1559,189,899,471,261,8,29,63,11,49,101,45,16,30,147,23,46874.08,114889,-5.0146828,38.07637233,695.0
    14901 Fuente Carreteros,14901,Andalucía,Córdoba,49.9151103565365,589,3065,11,26,0,0,964,28,32,15,100,1139,167,734,238,590,83,389,118,549,84,345,120,49,4,7,15,1,7,13,3,4,8,27,7,934.63,21244,-5.155460537,37.66907784,155.0
    18003 Albolote,18003,Andalucía,Granada,9.602194787379972,9477,3174,159,549,6467,6483,2947,479,430,434,1941,19181,3436,13220,2525,9475,1715,6578,1182,9706,1721,6642,1343,1524,88,236,265,62,348,525,76,96,148,1013,191,7858.4091,62287,-3.65748033,37.23090185,649.0
    18006 Albuñol,18006,Andalucía,Granada,14.193200215866163,3706,1687,225,508,1934,2818,235,212,192,1098,825,7314,1272,5068,974,4043,664,2920,459,3271,608,2148,515,370,27,65,76,19,109,74,85,10,28,206,41,6294.2333,38582,-3.20167375,36.79129267,240.0
    18011 Alfacar,18011,Andalucía,Granada,17.423510466988727,3105,3036,61,205,1935,2094,701,112,118,87,488,5535,846,3847,842,2836,460,1973,403,2699,386,1874,439,456,22,74,96,17,119,128,15,43,51,304,43,1672.7588,23807,-3.57046354,37.23688695,919.0
    18012 Algarinejo,18012,Andalucía,Granada,32.16945996275605,2148,2177,113,216,861,1199,72,72,34,61,136,2435,230,1484,721,1258,111,813,334,1177,119,671,387,72,1,5,19,5,21,18,18,5,9,34,9,9211.0411,43821,-4.15798102,37.32575532,606.0
    18013 Alhama de Granada,18013,Andalucía,Granada,20.729111229377327,3758,2298,189,417,1703,2622,266,169,139,296,469,5664,798,3811,1055,3005,427,2090,488,2659,371,1721,567,243,12,36,56,9,58,72,47,10,25,141,20,41960.17,191127,-3.98605626,37.0037636,889.0
    18014 Alhendín,18014,Andalucía,Granada,13.116410670978173,4948,3254,70,280,2706,2480,2398,276,273,276,1308,9717,2060,6622,1035,4931,1053,3385,493,4786,1007,3237,542,834,49,121,161,27,221,255,18,47,74,615,80,5055.73,54054,-3.64587295,37.10823076,736.0
    18017 Almuñécar,18017,Andalucía,Granada,15.13991064530216,29769,1420,2254,6330,7169,11855,1416,726,928,2236,2059,26389,3712,16925,5752,13022,1949,8394,2679,13367,1763,8531,3073,1805,65,229,479,60,379,593,88,81,168,1289,179,8336.038,54279,-3.69091622,36.73441423,22.0
    18021 Armilla,18021,Andalucía,Granada,7.384318201773642,11389,2693,249,692,7710,6401,4770,1030,978,1148,2393,24430,4154,17194,3082,12035,2157,8477,1401,12395,1997,8717,1681,2254,96,298,444,110,589,717,57,89,154,1697,257,431.03,10128,-3.62690297,37.14031436,675.0
    18022 Atarfe,18022,Andalucía,Granada,15.946843853820598,10234,3025,173,538,6218,6055,3224,449,397,433,2475,19252,3998,12898,2356,9732,2113,6546,1073,9520,1885,6352,1283,1818,74,265,349,99,518,513,96,132,175,1197,218,4725.2015,46469,-3.6887337,37.22271103,598.0
    18023 Baza,18023,Andalucía,Granada,13.041583122657135,11471,2432,491,1136,7250,8357,1015,525,779,628,1834,20388,3133,13404,3851,10135,1658,6763,1714,10253,1475,6641,2137,1490,71,211,343,74,365,426,155,111,104,949,171,54538.9607,189279,-2.77485648,37.49077779,843.0
    18027 Benalúa,18027,Andalucía,Granada,21.42465753424657,1825,2380,89,211,1843,717,179,66,107,23,360,3296,609,2104,583,1617,299,1069,249,1679,310,1035,334,413,17,70,87,26,108,105,53,34,46,255,25,865.57,13410,-3.16508314,37.35220557,867.0
    18028 Benalúa de las Villas,18028,Andalucía,Granada,23.705722070844686,734,2431,35,78,320,545,92,17,32,20,68,1094,108,731,255,578,57,396,125,516,51,335,130,48,4,6,9,3,14,11,7,1,12,18,7,2165.4558,29548,-3.68369321,37.42820145,841.0
    18029 Benamaurel,18029,Andalucía,Granada,21.238390092879257,1615,2117,121,206,636,1114,130,30,102,80,193,2285,346,1390,549,1138,172,705,261,1147,174,685,288,158,11,20,40,13,43,31,21,24,4,93,16,12788.42,68979,-2.698784399,37.60891437,723.0
    18035 Cádiar,18035,Andalucía,Granada,34.36507936507937,1260,1663,78,161,360,698,130,99,60,78,99,1524,185,954,385,811,111,512,188,713,74,442,197,120,7,13,40,3,23,34,8,4,17,81,10,4732.112,42258,-3.18084098,36.94487044,920.0
    18036 Cájar,18036,Andalucía,Granada,10.16042780748663,2431,3448,29,125,2001,1116,1294,145,122,120,477,5275,878,3574,823,2597,467,1794,336,2678,411,1780,487,356,16,43,78,11,87,121,7,20,32,267,30,164.9126,7207,-3.57097669,37.13433161,729.0
    18038 Campotéjar,18038,Andalucía,Granada,30.29585798816568,845,2365,38,79,341,614,106,29,38,20,70,1218,124,820,274,619,66,436,117,599,58,384,157,66,2,7,19,5,14,19,16,2,6,37,5,3582.02,34520,-3.6156536,37.48233309,935.0
    18039 Caniles,18039,Andalucía,Granada,14.583333333333334,2448,2369,119,244,1266,2077,137,74,103,100,319,4076,507,2533,1036,2088,276,1330,482,1988,231,1203,554,209,5,26,61,7,54,56,41,15,25,120,8,21675.2325,63574,-2.72312271,37.43694658,906.0
    18045 Castilléjar,18045,Andalucía,Granada,35.97122302158273,1390,1751,144,166,381,613,65,21,100,65,70,1315,122,773,420,685,61,426,198,630,61,347,222,84,2,10,33,2,15,22,13,2,13,54,5,13132.49,53404,-2.64338292,37.71495776,775.0
    18046 Castril,18046,Andalucía,Granada,26.022304832713758,1614,1942,130,220,563,1109,69,38,94,43,101,2017,191,1220,606,1053,106,662,285,964,85,558,321,132,5,19,42,10,21,35,16,5,22,83,6,24325.5098,82319,-2.77929932,37.79447243,904.0
    18047 Cenes de la Vega,18047,Andalucía,Granada,8.453065134099617,4176,2743,91,289,2972,2268,1481,229,249,322,704,8226,1331,6011,884,4097,695,2999,403,4129,636,3012,481,744,35,102,153,22,162,270,16,36,50,570,72,648.8566,12736,-3.53735586,37.15945749,747.0
    18048 Cijuela,18048,Andalucía,Granada,26.499231163505893,1951,3207,31,113,1225,867,674,77,103,111,437,3494,710,2415,369,1810,365,1276,169,1684,345,1139,200,333,22,57,56,18,96,84,28,24,26,222,33,1791.8531,24050,-3.81055129,37.19984762,540.0
    18050 Cogollos de la Vega,18050,Andalucía,Granada,29.23636363636364,1375,2333,37,141,400,1089,250,29,36,13,206,2023,323,1299,401,1035,159,678,198,988,164,621,203,176,11,39,41,4,45,36,28,8,51,79,10,4987.0881,38741,-3.57526467,37.27380305,999.0
    18051 Colomera,18051,Andalucía,Granada,37.308868501529055,981,2197,28,95,564,489,97,17,18,23,93,1301,168,846,287,678,84,460,134,623,84,386,153,87,5,12,19,11,18,22,9,5,15,50,8,11197.6682,66547,-3.71436522,37.3742622,841.0
    18053 Cortes de Baza,18053,Andalucía,Granada,24.087123638693143,1561,1892,113,197,492,968,73,44,102,103,93,1875,174,1076,625,934,91,567,276,941,83,509,349,98,1,16,21,7,22,29,11,8,5,67,8,14055.668,56926,-2.771069,37.65604885,700.0
    18056 Cúllar,18056,Andalucía,Granada,18.89650198341147,2773,2195,159,317,1093,2223,130,75,168,106,286,4081,485,2504,1092,2038,267,1279,492,2043,218,1225,600,246,8,32,52,11,56,87,21,20,23,167,15,42753.47,99526,-2.57596221,37.58371761,892.0
    18057 Cúllar Vega,18057,Andalucía,Granada,5.095342294467021,3199,3369,48,163,2890,1965,1558,174,199,185,778,7751,1468,5421,862,3943,785,2752,406,3808,683,2669,456,647,33,83,116,35,114,266,18,35,53,475,66,426.52,12931,-3.67166338,37.15344636,641.0
    18059 Chauchina,18059,Andalucía,Granada,20.44878754976475,2763,3231,51,145,2249,1853,677,60,119,82,599,5639,1070,3737,832,2802,551,1884,367,2837,519,1853,465,452,29,85,96,37,107,98,47,24,64,263,54,2121.11,24062,-3.77093889,37.20165324,552.0
    18061 Chimeneas,18061,Andalucía,Granada,37.07995365005794,863,2713,25,55,320,662,93,9,24,56,81,1245,143,789,313,659,74,441,144,586,69,348,169,71,5,12,17,6,12,21,7,2,9,36,16,9032.7779,62062,-3.8211484,37.13262106,693.0
    18062 Churriana de la Vega,18062,Andalucía,Granada,6.143520908621579,7748,2887,128,461,4700,3915,3675,467,470,518,2036,15781,3317,10740,1724,7786,1678,5307,801,7995,1639,5433,923,1386,59,209,249,51,357,461,40,59,231,940,116,656.67,13010,-3.64581291,37.14885746,655.0
    18063 Darro,18063,Andalucía,Granada,36.0529217199559,907,2332,46,89,365,866,127,38,32,16,197,1641,335,1066,240,834,174,544,116,807,161,522,124,177,17,37,35,14,51,23,48,5,42,72,14,5034.74,38152,-3.29325661,37.35059768,1120.0
    18066 Deifontes,18066,Andalucía,Granada,11.032863849765258,1278,2965,24,100,865,1179,194,51,59,17,250,2615,430,1673,512,1325,223,860,242,1290,207,813,270,176,3,18,38,15,54,47,40,4,18,102,12,4048.3193,43289,-3.59424027,37.32594516,737.0
